ID,Group,round,Decmaps,Decpics,Expltime,Dectime_interval,Dectimes,Payoffs,prev_n_selected_times,prev_n_avg_payoff,Dectimes_interval
201907,H,6,"[15, 156, 2, 72, 110, 219, 155, 247, 1, 3, 138, 130, 140, 154, 229, 44, 238, 59, 152, 50]","[110, 138, 140, 130]","[0, 0, 0, 7.415000000000873, 0, 0, 0, 0, 1.9839999999967404, 0, 0, 98.23799999999756, 0, 0, 0, 0, 22.266000000010536, 0, 4.9689999999973224, 0]","[66.63700000000244, 0.9069999999992433, 3.4329999999972642, 1.048000000002503]","[56880.954, 56947.591, 56948.498, 56951.931, 56952.979]","[2, 2, 2, 2]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,7,"[245, 29, 227, 284, 33, 50, 23, 106, 55, 271, 65, 60, 85, 8, 274, 228, 81, 73, 225, 287]","[81, 106, 225, 73]","[0, 0, 0, 8.591999999996915, 0, 0, 0, 0, 0, 0, 0, 5.85899999999674, 0, 0, 0, 23.691000000020722, 9.466999999982363, 0, 0, 0]","[24.050999999999476, 1.1330000000016298, 10.419000000001688, 1.6120000000009895]","[57158.229, 57182.28, 57183.413, 57193.832, 57195.444]","[5, 5, 6, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,8,"[177, 302, 213, 341, 300, 140, 136, 151, 349, 308, 145, 346, 128, 201, 188, 322, 340, 186, 109, 162]","[300, 302, 322, 213]","[0, 0, 0, 0, 0, 0, 17.331999999994878, 0, 3.5020000000004075, 8.576999999997497, 0, 0, 0, 0, 21.377999999989697, 0, 0, 0, 0, 4.716000000000349]","[7.296999999998661, 0.7570000000050641, 6.826000000000931, 23.602999999995518]","[57199.509, 57206.806, 57207.563, 57214.389, 57237.992]","[4, 4, 4, 6]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,9,"[357, 273, 99, 58, 54, 235, 219, 287, 351, 242, 220, 106, 336, 277, 86, 46, 259, 353, 89, 63]","[242, 106, 99, 89]","[2.0380000000004657, 0, 8.958999999995285, 7.8879999999917345, 0, 0, 0, 0, 0, 27.036999999989348, 0, 0, 0, 3.5760000000009313, 0, 0, 0, 0, 0, 0]","[26.635000000002037, 0.8850000000020373, 1.381999999997788, 1.728000000002794]","[57424.257, 57450.892, 57451.777, 57453.159, 57454.887]","[6, 5, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",
201907,H,10,"[203, 25, 172, 316, 307, 145, 14, 199, 205, 131, 294, 110, 173, 180, 15, 112, 128, 317, 9, 190]","[145, 172, 316, 199]","[0, 3.6999999999970896, 5.250000000007276, 0, 8.166000000004715, 0, 0, 4.347000000001572, 0, 13.291000000004715, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14.997999999999593, 7.461999999999534, 1.863999999994121, 2.416000000004715]","[57458.516, 57473.514, 57480.976, 57482.84, 57485.256]","[5, 5, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 6.0]",
201907,H,11,"[259, 245, 179, 316, 218, 149, 288, 294, 299, 340, 180, 356, 256, 305, 351, 278, 225, 160, 348, 235]","[316, 294, 305, 299]","[0, 0, 0, 0, 16.16799999999057, 4.415000000008149, 4.207000000002154, 0, 0, 0, 0, 0, 0, 6.848000000005413, 0, 0, 0, 0, 2.1779999999998836, 0]","[6.4209999999948195, 0.864000000001397, 1.9360000000015134, 33.771999999997206]","[57669.599, 57676.02, 57676.884, 57678.82, 57712.592]","[4, 4, 4, 4]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[2.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0]",
201907,H,12,"[182, 94, 9, 22, 97, 46, 86, 33, 186, 49, 137, 213, 203, 76, 110, 113, 30, 63, 143, 68]","[68, 46, 49, 63]","[14.054000000003725, 0, 0, 0, 0, 0, 0, 0, 0, 33.054000000011, 0, 0, 0, 10.706000000005588, 0, 0, 0, 0, 7.896000000007916, 0]","[13.665999999997439, 5.054000000003725, 1.9679999999934807, 1.2480000000068685]","[57715.741, 57729.407, 57734.461, 57736.429, 57737.677]","[4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,13,"[423, 14, 517, 269, 36, 47, 508, 527, 405, 257, 270, 254, 420, 421, 66, 54, 538, 13, 53, 11]","[54, 66, 508, 517]","[0, 0, 0, 5.919000000008964, 0, 0, 0, 17.310999999994237, 0, 0, 0, 0, 0, 8.73700000000099, 11.716999999989639, 0, 0, 0, 0, 237.51100000000588]","[34.06300000000192, 2.2259999999951106, 15.99500000000262, 4.173999999999069]","[58359.947, 58394.01, 58396.236, 58412.231, 58416.405]","[4, 4, 6, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,14,"[434, 504, 83, 232, 483, 383, 98, 221, 376, 444, 438, 476, 454, 385, 380, 247, 102, 94, 484, 242]","[232, 221, 247, 383]","[0, 0, 0, 0, 0, 1.2039999999979045, 7.438000000001921, 0, 0, 0, 0, 2.334000000002561, 0.5869999999995343, 0, 0, 0, 0, 0, 0, 27.036999999989348]","[10.759999999994761, 2.0160000000032596, 3.408000000003085, 5.753999999993539]","[58419.012, 58429.772, 58431.788, 58435.196, 58440.95]","[6, 6, 6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0]",
201907,H,15,"[31, 229, 1, 242, 226, 44, 32, 403, 65, 63, 263, 219, 273, 411, 266, 430, 274, 5, 408, 51]","[229, 219, 226, 242]","[0, 0, 1.9839999999967404, 27.036999999989348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.310999999994237, 2.7849999999962165, 0, 0, 0, 0, 9.997999999992317]","[22.4429999999993, 2.893000000003667, 21.65899999999965, 9.013999999995576]","[58628.839, 58651.282, 58654.175, 58675.834, 58684.848]","[6, 6, 6, 6]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
